epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28415,2.44441,3.22256,3.03782,0.09434,0.06384,0.05896,0.03166,1.81542,3.65739,2.45751,8.88889e-06,8.88889e-06,8.88889e-06
2,9.42514,2.54276,3.20666,3.05281,0.1139,0.08101,0.06741,0.03357,1.81086,3.65442,2.45071,1.88889e-05,1.88889e-05,1.88889e-05
3,14.6214,2.51648,3.23908,3.04321,0.13587,0.13986,0.08635,0.0485,1.81107,3.569,2.46671,2.88889e-05,2.88889e-05,2.88889e-05
4,19.7799,2.45734,3.13111,2.94456,0.15169,0.17349,0.10599,0.06044,1.7886,3.4475,2.45246,3.88889e-05,3.88889e-05,3.88889e-05
5,24.9311,2.40702,3.09071,2.93581,0.1396,0.16594,0.1146,0.06377,1.77558,3.36837,2.42495,4.88889e-05,4.88889e-05,4.88889e-05
6,30.1224,2.40415,3.16783,2.94864,0.13171,0.16423,0.10982,0.06141,1.78058,3.34561,2.44175,5.88889e-05,5.88889e-05,5.88889e-05
7,34.8634,2.27887,3.04277,2.86984,0.15766,0.1705,0.1333,0.06171,1.84165,3.31359,2.49716,6.88888e-05,6.88888e-05,6.88888e-05
8,40.0089,2.34935,3.11743,2.9157,0.17786,0.21832,0.14511,0.06622,1.86142,3.30383,2.49811,7.88888e-05,7.88888e-05,7.88888e-05
9,45.1697,2.26612,3.09925,2.82397,0.21535,0.21832,0.16864,0.07972,1.87253,3.2397,2.51693,8.88887e-05,8.88887e-05,8.88887e-05
10,50.3294,2.24998,2.98322,2.7609,0.35065,0.21751,0.20042,0.09747,1.85679,3.16651,2.51711,9.88887e-05,9.88887e-05,9.88887e-05
11,55.5026,2.21939,2.98597,2.79872,0.31095,0.26051,0.21883,0.10279,1.86921,3.1249,2.5166,0.000108889,0.000108889,0.000108889
12,60.6948,2.14791,2.96327,2.72537,0.32044,0.2539,0.22877,0.11489,1.85958,3.06681,2.51781,0.000118889,0.000118889,0.000118889
13,65.8871,2.16421,2.89461,2.72416,0.33151,0.2617,0.23621,0.11655,1.85821,2.98241,2.50309,0.000128888,0.000128888,0.000128888
14,71.0584,2.12722,2.91182,2.64244,0.31648,0.30399,0.2579,0.12566,1.85297,2.93269,2.49162,0.000138888,0.000138888,0.000138888
15,76.228,2.15595,2.85181,2.68021,0.33865,0.28801,0.26334,0.12611,1.89452,2.90933,2.50727,0.000148888,0.000148888,0.000148888
16,81.402,2.16742,2.79615,2.67596,0.37103,0.32184,0.27599,0.12805,1.91709,2.93505,2.52453,0.000158888,0.000158888,0.000158888
17,86.5728,2.08703,2.7458,2.6305,0.33517,0.31956,0.25221,0.12496,1.95492,2.94753,2.56012,0.000168888,0.000168888,0.000168888
18,91.3661,2.09144,2.79076,2.60071,0.34088,0.35361,0.28264,0.13743,1.94054,2.87057,2.53973,0.000178888,0.000178888,0.000178888
19,96.5228,2.16482,2.7613,2.62653,0.34794,0.40514,0.29385,0.13925,1.93729,2.82572,2.53059,0.000188887,0.000188887,0.000188887
20,101.909,2.01967,2.61932,2.51821,0.35271,0.41042,0.30434,0.1441,1.92532,2.82762,2.53367,0.000198887,0.000198887,0.000198887
21,107.093,2.0148,2.63832,2.50635,0.37835,0.38253,0.29637,0.14317,1.9286,2.8135,2.50759,0.000208887,0.000208887,0.000208887
22,111.811,2.0298,2.63313,2.50144,0.51911,0.31698,0.31436,0.13948,1.97008,2.80695,2.54589,0.000218887,0.000218887,0.000218887
23,116.558,2.09557,2.59413,2.54383,0.45991,0.31297,0.3037,0.13863,1.96298,2.77837,2.52541,0.000228886,0.000228886,0.000228886
24,121.308,2.04881,2.56691,2.52332,0.40699,0.37431,0.30679,0.13848,1.95116,2.772,2.52794,0.000238886,0.000238886,0.000238886
25,126.053,1.94804,2.55299,2.44408,0.34075,0.39807,0.31072,0.14175,1.97523,2.69508,2.54482,0.000248885,0.000248885,0.000248885
26,130.935,2.05799,2.6718,2.51798,0.42793,0.35323,0.32963,0.15376,1.97307,2.59151,2.55154,0.000258885,0.000258885,0.000258885
27,136.128,1.98171,2.57604,2.48003,0.46516,0.34647,0.33305,0.15423,1.96108,2.52307,2.55883,0.000268884,0.000268884,0.000268884
28,141.317,2.0779,2.59714,2.51545,0.48557,0.36444,0.35638,0.16518,1.96806,2.46753,2.55243,0.000278884,0.000278884,0.000278884
29,146.459,2.03274,2.56387,2.48639,0.42758,0.42605,0.34984,0.15918,1.98411,2.48057,2.58073,0.000288883,0.000288883,0.000288883
30,151.205,1.96142,2.50273,2.40105,0.39689,0.42012,0.36837,0.16793,2.00485,2.42813,2.59523,0.000298883,0.000298883,0.000298883
31,156.577,1.96957,2.51585,2.46512,0.46435,0.4103,0.34628,0.16701,1.99078,2.38485,2.56891,0.000308882,0.000308882,0.000308882
32,161.324,2.03759,2.53413,2.45145,0.44375,0.4545,0.37222,0.17689,1.98137,2.30758,2.55896,0.000318881,0.000318881,0.000318881
33,166.481,1.88475,2.47416,2.33235,0.45641,0.46025,0.38332,0.18398,2.00714,2.25281,2.57549,0.000328881,0.000328881,0.000328881
34,171.673,1.87654,2.40156,2.32674,0.50259,0.38777,0.37669,0.17897,1.98144,2.29207,2.57739,0.00033888,0.00033888,0.00033888
35,176.643,1.84835,2.40698,2.34308,0.47814,0.43559,0.40502,0.18597,1.98475,2.24259,2.56709,0.000348879,0.000348879,0.000348879
36,181.798,1.89772,2.45198,2.36191,0.51642,0.4288,0.43117,0.19752,1.96284,2.18325,2.52435,0.000358878,0.000358878,0.000358878
37,186.927,1.81547,2.3398,2.29865,0.52169,0.43959,0.4255,0.19635,1.97211,2.14443,2.53682,0.000368877,0.000368877,0.000368877
38,191.666,1.90455,2.37218,2.38272,0.51144,0.46077,0.44348,0.20251,1.94715,2.1435,2.49112,0.000378876,0.000378876,0.000378876
39,196.796,1.77436,2.30636,2.27993,0.56546,0.43559,0.44515,0.19979,1.93629,2.06728,2.48583,0.000388875,0.000388875,0.000388875
40,201.557,1.89202,2.37713,2.34864,0.60587,0.50636,0.46842,0.20447,1.9697,2.03922,2.5209,0.000398874,0.000398874,0.000398874
41,206.69,1.82234,2.3308,2.30874,0.57304,0.46644,0.45393,0.21037,1.98079,2.01429,2.53671,0.000408873,0.000408873,0.000408873
42,211.852,1.84439,2.34626,2.33545,0.59691,0.47335,0.4619,0.21363,2.05897,1.99422,2.62091,0.000418872,0.000418872,0.000418872
43,217.045,1.80478,2.30572,2.28731,0.67014,0.47032,0.48162,0.22134,2.02607,2.01118,2.60117,0.00042887,0.00042887,0.00042887
44,222.141,1.85465,2.32344,2.27428,0.68529,0.48243,0.50814,0.24421,1.91099,2.00367,2.4693,0.000438869,0.000438869,0.000438869
45,227.331,1.80937,2.29621,2.27372,0.66148,0.48462,0.51691,0.23719,2.01587,1.94354,2.57558,0.000448868,0.000448868,0.000448868
46,232.065,1.85023,2.29746,2.29853,0.6629,0.51382,0.54379,0.24548,1.9385,1.94086,2.48354,0.000458866,0.000458866,0.000458866
47,237.207,1.80522,2.30075,2.26722,0.66429,0.53517,0.54396,0.24783,1.98095,1.8818,2.53731,0.000468865,0.000468865,0.000468865
48,242.454,1.80603,2.33016,2.28056,0.66267,0.55123,0.5444,0.26055,1.96479,1.81618,2.50811,0.000478863,0.000478863,0.000478863
49,247.629,1.81386,2.21109,2.27458,0.6775,0.52133,0.55992,0.27099,1.93165,1.83781,2.4471,0.000488861,0.000488861,0.000488861
50,252.795,1.8343,2.24294,2.26915,0.69766,0.54418,0.55559,0.27943,1.92587,1.77921,2.42816,0.00049886,0.00049886,0.00049886
51,257.975,1.78799,2.24171,2.24218,0.63681,0.59242,0.56447,0.28217,1.902,1.77449,2.39102,0.000508858,0.000508858,0.000508858
52,263.115,1.73735,2.20996,2.21427,0.65741,0.60997,0.59657,0.28931,1.92788,1.72908,2.41024,0.000518856,0.000518856,0.000518856
53,268.299,1.75884,2.14456,2.22347,0.68137,0.57696,0.57321,0.2846,1.95214,1.72952,2.45344,0.000528854,0.000528854,0.000528854
54,273.039,1.73626,2.07079,2.22789,0.65344,0.57845,0.59204,0.28915,1.84695,1.73306,2.34395,0.000538852,0.000538852,0.000538852
55,277.794,1.7787,2.23885,2.26025,0.66185,0.60668,0.61338,0.28705,1.98724,1.67799,2.46479,0.00054885,0.00054885,0.00054885
56,282.593,1.67324,2.09906,2.18609,0.72268,0.57789,0.62843,0.29522,1.95168,1.61954,2.45686,0.000558848,0.000558848,0.000558848
57,287.748,1.70096,2.12853,2.19859,0.71241,0.60997,0.63184,0.29683,1.98249,1.59221,2.4922,0.000568845,0.000568845,0.000568845
58,292.913,1.67481,2.04663,2.1554,0.67814,0.59928,0.63362,0.30661,1.94897,1.58644,2.44031,0.000578843,0.000578843,0.000578843
59,298.101,1.7761,2.20633,2.26295,0.66119,0.61093,0.61858,0.30066,1.92601,1.58774,2.43146,0.00058884,0.00058884,0.00058884
60,302.863,1.71135,2.02318,2.18749,0.76382,0.57037,0.65621,0.33573,1.8416,1.51577,2.31881,0.000598838,0.000598838,0.000598838
61,308.042,1.62951,2.05536,2.15537,0.66979,0.62504,0.64812,0.31717,1.92121,1.55638,2.37646,0.000608835,0.000608835,0.000608835
62,312.784,1.63084,1.93857,2.12287,0.67636,0.62226,0.64366,0.30604,1.90109,1.58801,2.37486,0.000618833,0.000618833,0.000618833
63,317.526,1.64376,1.93134,2.12678,0.71242,0.56304,0.65154,0.32236,1.83137,1.57264,2.31746,0.00062883,0.00062883,0.00062883
64,322.289,1.63241,1.92704,2.13592,0.72816,0.62379,0.68283,0.3328,1.92079,1.42713,2.41227,0.000638827,0.000638827,0.000638827
65,327.471,1.62715,1.91737,2.11864,0.82422,0.58919,0.68903,0.33299,1.89993,1.41634,2.36826,0.000648824,0.000648824,0.000648824
66,332.633,1.6369,1.85768,2.11773,0.74224,0.61719,0.67723,0.32386,1.89571,1.4472,2.35071,0.000658821,0.000658821,0.000658821
67,337.573,1.66604,1.96083,2.18821,0.62049,0.66683,0.63601,0.30334,1.97663,1.5299,2.43596,0.000668818,0.000668818,0.000668818
68,342.339,1.60467,1.90455,2.11317,0.61304,0.65668,0.6493,0.31351,1.87415,1.51058,2.30917,0.000678814,0.000678814,0.000678814
69,347.097,1.73041,2.00678,2.18012,0.75621,0.6131,0.6885,0.34956,1.91983,1.44093,2.38645,0.000688811,0.000688811,0.000688811
70,352.283,1.67463,1.89825,2.14328,0.86579,0.59949,0.71618,0.34762,1.86298,1.40049,2.34067,0.000698808,0.000698808,0.000698808
71,357.489,1.65094,1.96936,2.1522,0.76954,0.63867,0.70391,0.34724,1.83406,1.38932,2.31816,0.000708804,0.000708804,0.000708804
72,362.224,1.62813,1.90516,2.1273,0.77119,0.642,0.70419,0.32816,1.91886,1.40358,2.39081,0.0007188,0.0007188,0.0007188
73,366.948,1.60264,1.84336,2.09427,0.73567,0.65923,0.68281,0.31571,2.01322,1.39262,2.49098,0.000728797,0.000728797,0.000728797
74,371.698,1.66333,1.93115,2.10785,0.69762,0.6638,0.71851,0.34396,1.90352,1.47445,2.35651,0.000738793,0.000738793,0.000738793
75,376.433,1.61093,1.84961,2.0945,0.83793,0.59469,0.72009,0.32964,1.98641,1.34713,2.42857,0.000748789,0.000748789,0.000748789
76,381.185,1.59487,1.84554,2.09011,0.70695,0.66766,0.67978,0.31444,2.07427,1.42685,2.53393,0.000758785,0.000758785,0.000758785
77,385.95,1.57487,1.81883,2.08869,0.74919,0.68641,0.73879,0.34699,1.99196,1.34039,2.40103,0.00076878,0.00076878,0.00076878
78,391.221,1.58479,1.78202,2.07243,0.80503,0.67314,0.73793,0.34609,1.94633,1.2555,2.39044,0.000778776,0.000778776,0.000778776
79,395.951,1.5921,1.86592,2.08229,0.78087,0.68451,0.74578,0.3771,1.82299,1.20196,2.2671,0.000788772,0.000788772,0.000788772
80,401.103,1.63939,1.8665,2.13053,0.73038,0.71502,0.76119,0.35787,1.93782,1.22149,2.37412,0.000798767,0.000798767,0.000798767
81,405.829,1.62717,1.73829,2.05591,0.83291,0.62174,0.72132,0.32408,1.96139,1.26592,2.41424,0.000808762,0.000808762,0.000808762
82,410.585,1.60005,1.76411,2.08,0.85444,0.59477,0.70448,0.3384,1.95666,1.28191,2.42329,0.000818758,0.000818758,0.000818758
83,415.331,1.56771,1.80859,2.05883,0.77542,0.64425,0.69426,0.32886,1.98633,1.24307,2.44803,0.000828753,0.000828753,0.000828753
84,420.068,1.57282,1.79147,2.06786,0.79552,0.637,0.73937,0.34981,1.93786,1.20932,2.33012,0.000838748,0.000838748,0.000838748
85,424.809,1.5635,1.70008,2.0164,0.71346,0.68075,0.69058,0.33417,1.92165,1.24478,2.34724,0.000848743,0.000848743,0.000848743
86,429.542,1.50548,1.63068,2.03409,0.84298,0.6623,0.76463,0.3571,1.93995,1.14302,2.38557,0.000858737,0.000858737,0.000858737
87,434.35,1.52504,1.67158,2.02979,0.7862,0.65063,0.73773,0.34452,2.0027,1.16895,2.45413,0.000868732,0.000868732,0.000868732
88,439.08,1.50945,1.73318,2.05889,0.76115,0.7099,0.74619,0.37212,1.86537,1.18934,2.27696,0.000878726,0.000878726,0.000878726
89,443.83,1.53729,1.67477,2.02459,0.82333,0.64522,0.76604,0.38725,1.86651,1.15517,2.31442,0.000888721,0.000888721,0.000888721
90,449.082,1.58081,1.73547,2.03655,0.73169,0.6499,0.71616,0.34246,1.95867,1.24875,2.38894,0.000898715,0.000898715,0.000898715
91,453.852,1.59532,1.68239,2.05615,0.69149,0.71559,0.73571,0.36767,1.84883,1.22954,2.27297,0.000908709,0.000908709,0.000908709
92,458.582,1.54726,1.70298,2.02555,0.83314,0.70369,0.74446,0.35864,1.90109,1.14542,2.3514,0.000918703,0.000918703,0.000918703
93,463.315,1.55973,1.62479,2.01527,0.77151,0.66389,0.7143,0.33949,1.9611,1.18638,2.40634,0.000928697,0.000928697,0.000928697
94,468.043,1.54162,1.66336,2.03908,0.84074,0.67135,0.77545,0.37758,1.86325,1.18981,2.30168,0.000938691,0.000938691,0.000938691
95,472.787,1.59133,1.69113,2.06861,0.80968,0.63578,0.76161,0.38691,1.84454,1.24225,2.26058,0.000948684,0.000948684,0.000948684
96,477.521,1.51573,1.68422,2.02921,0.77726,0.6205,0.73236,0.36854,1.849,1.25752,2.2759,0.000958678,0.000958678,0.000958678
97,482.245,1.47862,1.65783,1.99673,0.75648,0.62774,0.71094,0.34664,1.90715,1.2979,2.33326,0.000968671,0.000968671,0.000968671
98,487.005,1.51593,1.59151,2.01475,0.82451,0.68905,0.74349,0.35366,1.91198,1.18709,2.35446,0.000978664,0.000978664,0.000978664
99,491.736,1.48559,1.5766,1.97664,0.81125,0.70889,0.76486,0.36872,1.92313,1.15139,2.31572,0.000988657,0.000988657,0.000988657
100,496.458,1.48799,1.58084,2.01887,0.85832,0.64242,0.76277,0.38422,1.85322,1.17348,2.24613,0.00099865,0.00099865,0.00099865
101,501.213,1.50015,1.68823,2.04262,0.78523,0.67907,0.7232,0.36488,1.86444,1.13906,2.28621,0.00100864,0.00100864,0.00100864
102,506.011,1.55958,1.67881,2.03707,0.77927,0.71654,0.74475,0.3702,1.87455,1.14245,2.32186,0.00101864,0.00101864,0.00101864
103,510.776,1.52127,1.66409,2.01435,0.82258,0.67072,0.75113,0.35234,1.95629,1.17878,2.42857,0.00102863,0.00102863,0.00102863
104,515.528,1.56754,1.68821,2.07344,0.82314,0.62469,0.71712,0.34196,1.94856,1.15405,2.36999,0.00103862,0.00103862,0.00103862
105,520.266,1.5607,1.64376,2.04321,0.81368,0.71332,0.75925,0.36594,1.84186,1.22248,2.26501,0.00104861,0.00104861,0.00104861
106,524.999,1.52998,1.5771,1.99189,0.8515,0.66953,0.72001,0.37216,1.88998,1.14382,2.3462,0.0010586,0.0010586,0.0010586
107,529.745,1.49277,1.54102,1.9887,0.81107,0.65319,0.75569,0.38742,1.78317,1.29994,2.21404,0.0010686,0.0010686,0.0010686
108,534.492,1.49605,1.66961,1.9725,0.80309,0.68353,0.74065,0.36953,1.87278,1.17611,2.32636,0.00107859,0.00107859,0.00107859
109,539.25,1.5288,1.61153,2.01254,0.84086,0.64191,0.72133,0.349,1.89422,1.25814,2.37477,0.00108858,0.00108858,0.00108858
110,544.186,1.5224,1.56748,1.99212,0.79262,0.67349,0.7426,0.38556,1.73726,1.24327,2.18233,0.00109857,0.00109857,0.00109857
111,548.944,1.49139,1.57386,2.00817,0.80506,0.64022,0.71934,0.37575,1.79881,1.17527,2.224,0.00110856,0.00110856,0.00110856
112,553.69,1.47596,1.54628,1.958,0.8342,0.61899,0.69211,0.34415,1.88368,1.20906,2.31027,0.00111855,0.00111855,0.00111855
113,558.431,1.49162,1.50226,2.01077,0.81846,0.57133,0.71366,0.34647,1.81031,1.28857,2.27372,0.00112854,0.00112854,0.00112854
114,563.174,1.44181,1.47786,1.92186,0.83605,0.63754,0.74031,0.35802,1.83152,1.19106,2.28551,0.00113853,0.00113853,0.00113853
115,567.916,1.46623,1.61407,1.96727,0.82452,0.67275,0.7483,0.37473,1.74532,1.25032,2.2282,0.00114852,0.00114852,0.00114852
116,572.633,1.44078,1.49293,1.93535,0.73958,0.7313,0.7612,0.38019,1.80361,1.10213,2.26531,0.00115851,0.00115851,0.00115851
117,577.357,1.49642,1.52124,1.98334,0.80493,0.68571,0.74634,0.37673,1.82363,1.14944,2.30174,0.0011685,0.0011685,0.0011685
118,582.108,1.47177,1.48541,1.93519,0.83301,0.6646,0.74692,0.37454,1.86626,1.14277,2.32849,0.00117849,0.00117849,0.00117849
119,587.016,1.39922,1.4027,1.90095,0.80674,0.71598,0.75515,0.36804,1.88028,1.14699,2.35241,0.00118848,0.00118848,0.00118848
120,591.76,1.46958,1.49783,1.92918,0.88866,0.70733,0.78514,0.40023,1.80372,0.99042,2.24234,0.00119847,0.00119847,0.00119847
121,596.926,1.46926,1.58252,1.97506,0.7562,0.68974,0.77741,0.38455,1.7723,1.16477,2.18755,0.00120846,0.00120846,0.00120846
122,601.661,1.48175,1.55283,1.98649,0.82614,0.75806,0.79154,0.39514,1.72326,1.0894,2.20113,0.00121845,0.00121845,0.00121845
123,606.406,1.46185,1.50155,1.94634,0.89168,0.744,0.81126,0.40986,1.69737,1.08213,2.15054,0.00122844,0.00122844,0.00122844
124,611.559,1.55443,1.58051,2.00515,0.8677,0.62694,0.75121,0.41943,1.64225,1.21114,2.10581,0.00123843,0.00123843,0.00123843
125,616.712,1.44819,1.50581,1.95367,0.80901,0.72847,0.78207,0.39608,1.71565,1.1371,2.14654,0.00124842,0.00124842,0.00124842
126,621.533,1.4898,1.46291,1.97247,0.80827,0.68701,0.76988,0.42704,1.62159,1.17323,2.0699,0.00125841,0.00125841,0.00125841
127,626.676,1.53796,1.51494,1.97444,0.77562,0.7403,0.78738,0.41131,1.70572,1.10916,2.15819,0.0012684,0.0012684,0.0012684
128,631.409,1.57038,1.60831,1.97389,0.83623,0.73384,0.81881,0.42498,1.67855,1.08164,2.12922,0.00127839,0.00127839,0.00127839
129,636.745,1.46531,1.47648,1.95222,0.79464,0.79041,0.81379,0.42624,1.67278,1.09257,2.13965,0.00128837,0.00128837,0.00128837
130,641.883,1.42385,1.45518,1.9452,0.81448,0.73002,0.79006,0.41841,1.68718,1.09739,2.15104,0.00129836,0.00129836,0.00129836
131,646.618,1.52002,1.54026,1.99605,0.75992,0.7448,0.76974,0.40394,1.67289,1.07706,2.1242,0.00130835,0.00130835,0.00130835
132,651.375,1.41363,1.39614,1.9457,0.85154,0.68719,0.78588,0.40589,1.67208,1.18193,2.10201,0.00131834,0.00131834,0.00131834
133,656.109,1.45093,1.38886,1.91214,0.88946,0.68468,0.77216,0.42395,1.67404,1.10226,2.09783,0.00132832,0.00132832,0.00132832
134,660.843,1.41509,1.37645,1.91237,0.87981,0.70154,0.7851,0.41466,1.69912,0.99637,2.17226,0.00133831,0.00133831,0.00133831
135,665.576,1.51892,1.51265,1.93619,0.82149,0.66511,0.75687,0.41219,1.63532,1.16259,2.12045,0.0013483,0.0013483,0.0013483
136,670.328,1.47072,1.46199,1.94066,0.69406,0.70576,0.75583,0.41723,1.66586,1.10796,2.15486,0.00135828,0.00135828,0.00135828
137,675.057,1.44304,1.40736,1.91749,0.80557,0.73201,0.77274,0.40692,1.71229,1.09868,2.13992,0.00136827,0.00136827,0.00136827
138,679.818,1.44978,1.38285,1.91631,0.8369,0.70101,0.78007,0.4188,1.6457,1.0806,2.04835,0.00137826,0.00137826,0.00137826
139,684.714,1.45037,1.39608,1.91451,0.8102,0.67238,0.75611,0.39566,1.63885,1.15537,2.07181,0.00138824,0.00138824,0.00138824
140,689.443,1.46167,1.48868,1.95154,0.77557,0.7143,0.79768,0.40892,1.67747,1.11079,2.10773,0.00139823,0.00139823,0.00139823
141,694.183,1.42178,1.44939,1.95225,0.78006,0.72975,0.80302,0.43996,1.56241,1.11514,2.01273,0.00140821,0.00140821,0.00140821
142,699.339,1.41712,1.3386,1.9179,0.73819,0.73069,0.76129,0.40051,1.59213,1.15823,2.0399,0.0014182,0.0014182,0.0014182
143,704.274,1.41994,1.39055,1.89432,0.78604,0.72731,0.78338,0.43504,1.65728,1.06579,2.1143,0.00142819,0.00142819,0.00142819
144,709.031,1.41648,1.42433,1.93639,0.79391,0.66618,0.76712,0.43862,1.56972,1.1089,2.05228,0.00143817,0.00143817,0.00143817
145,713.765,1.49142,1.41453,1.97974,0.75769,0.70983,0.74298,0.41264,1.59604,1.15013,2.06313,0.00144816,0.00144816,0.00144816
146,718.485,1.41238,1.51395,1.9176,0.81921,0.69181,0.75723,0.43023,1.62365,1.17369,2.09739,0.00145814,0.00145814,0.00145814
147,723.272,1.48807,1.48328,1.95499,0.7796,0.71005,0.76065,0.42156,1.61508,1.1905,2.07556,0.00146812,0.00146812,0.00146812
148,728.034,1.3944,1.36924,1.89712,0.80183,0.65946,0.7619,0.3747,1.73591,1.25279,2.16627,0.00147811,0.00147811,0.00147811
149,732.788,1.47167,1.42728,1.94955,0.84062,0.71139,0.76131,0.41093,1.78848,1.13894,2.21758,0.00148809,0.00148809,0.00148809
150,737.551,1.46359,1.44099,1.93213,0.86328,0.71183,0.7843,0.41717,1.71771,1.00226,2.20444,0.00149808,0.00149808,0.00149808
151,742.316,1.47092,1.41794,1.95907,0.781,0.68929,0.76309,0.38772,1.63914,1.18251,2.13599,0.00150806,0.00150806,0.00150806
152,747.026,1.37413,1.3227,1.86077,0.77687,0.69768,0.7528,0.40029,1.62796,1.14701,2.12038,0.00151804,0.00151804,0.00151804
153,751.8,1.38655,1.35879,1.90445,0.78824,0.6676,0.74062,0.40958,1.59567,1.07733,2.11069,0.00152803,0.00152803,0.00152803
154,756.545,1.41683,1.41905,1.9017,0.73161,0.69207,0.74487,0.3819,1.65131,1.20044,2.15222,0.00153801,0.00153801,0.00153801
155,761.295,1.43856,1.37049,1.92417,0.71247,0.73765,0.7394,0.39695,1.6445,1.15152,2.11577,0.00154799,0.00154799,0.00154799
